CODGEO;LIBGEO;EPCI;LIBEPCI
14322;Guéron;241400555;CC de Bayeux Intercom
14325;Hermanville-sur-Mer;200065597;CU Caen la Mer
14326;Hermival-les-Vaux;200069532;CA Lisieux Normandie
14327;Hérouville-Saint-Clair;200065597;CU Caen la Mer
14328;Hérouvillette;200065563;CC Normandie-Cabourg-Pays d'Auge
14329;Heuland;200065563;CC Normandie-Cabourg-Pays d'Auge
14332;La Hoguette;241400514;CC du Pays de Falaise
14333;Honfleur;200066827;CC du Pays de Honfleur-Beuzeville
14334;L'Hôtellerie;200069532;CA Lisieux Normandie
14335;Hotot-en-Auge;200065563;CC Normandie-Cabourg-Pays d'Auge
14336;Hottot-les-Bagues;200069516;CC Seulles Terre et Mer
14337;La Houblonnière;200069532;CA Lisieux Normandie
14338;Houlgate;200065563;CC Normandie-Cabourg-Pays d'Auge
14341;Ifs;200065597;CU Caen la Mer
14342;Isigny-sur-Mer;200066801;CC Isigny-Omaha Intercom
14343;Les Isles-Bardel;241400514;CC du Pays de Falaise
14344;Janville;200065589;CC Val ès Dunes
14345;Jort;241400514;CC du Pays de Falaise
14346;Juaye-Mondaye;241400555;CC de Bayeux Intercom
